IUCA,Texto,Etiqueta
0,¿Puedo darme de baje por el tiempo en que no realice la actividad luego darme de alta cuando la retome?,si_no
0,"Si dejo de trabajar por un tiempo, ¿puedo darme de baja y luego volver a darme de alta?",si_no
0,"¿Puedo dar de baja mi monotributo y transcurrido un período de tiempo, darme de alta nuevamente?",si_no
0,¿Es obligatorio seguir inscripto en el régimen si dejo de ejercer mi actividad?,si_no
0,¿Qué sucede si me doy de baja y luego retomo mi actividad?,manera
0,¿Me tengo que dar de alta de nuevo si me doy de baja y luego retomo mi actividad?,si_no
0,¿Puedo suspender mi inscripción hasta que retome mi actividad?,si_no
0,¿Se puede interrumpir la inscripción del monotributo hasta que vuelva a ejercer mi actividad?,si_no
1,¿Puedo quedar excluido del Monotributo?,si_no
1,¿Por qué puedo quedar excluido del Monotributo?,razon
1,¿AFIP me puede excluir del Monotributo?,si_no
1,¿Puedo quedar fuera del Monotributo?,si_no
1,¿Cuáles son las causales de exclusión del Monotributo?,razon
1,¿Con qué motivos me pueden dejar fuera del Monotributo?,razon
1,¿Cuándo puedo llegar a quedar excluido?,razon
1,¿En qué casos puedo quedar excluido del monotributo?,razon
2,¿Cómo me doy de baja del Monotributo?,procedimiento
2,¿Cómo es el procedimiento para darme de baja del Monotributo?,procedimiento
2,¿Cómo debo hacer para eliminar mi Monotributo?,procedimiento
2,¿Cómo dejo de ser Monotributista?,procedimiento
2,¿Cómo hago para darme de baja?,procedimiento
2,¿Qué tengo que hacer para darme de baja?,procedimiento
2,¿Cuáles son los pasos para darme de baja en el monotributo?,procedimiento
3,¿Me puedo volver a adherir si me di de baja?,si_no
3,"Si me di de baja el monotributo por que ya no realizaba la actividad, ¿Cuánto tiempo tengo que esperar para darme de alta nuevamente?",temporal
3,"Si me di de baja el monotributo porque ya no realizaba la actividad, ¿Puedo volver a darme de alta nuevamente?",si_no
3,"Si me di de baja el monotributo porque ya no realizaba la actividad, ¿Cuánto tiempo tengo que esperar para darme de alta nuevamente?",temporal
3,"Si me di de baja, ¿es posible darme de alta otra vez?",si_no
3,¿Me puedo dar de alta de nuevo si me había dado de baja por cese de actividad?,si_no
3,¿Me puedo adherir de nuevo al haberme dado de baja debido a la interrupción de mi actividad?,si_no
3,"Si dejé de ejercer mi actividad y me di de baja, luego cuando retome ¿me podré volverme a inscribir?",si_no
4,Si AFIP me excluye del Monotributo ¿Cuándo puedo volver a darme de alta?,temporal
4,"En caso de quedar excluido del Monotributo, ¿Cuándo puedo volver a serlo?",temporal
4,¿Cuánto tiempo tiene que trancurrir desde que quedé excluido del Monotributo hasta que pueda volver a adherirme?,temporal
4,"Si me excluyeron del monotributo, ¿qué tiempo debo esperar para darme de alta otra vez?",temporal
4,¿Cuánto tengo que esperar para adherirme al monotributo nuevamente luego de quedar excluido?,temporal
4,¿Cuánto tiempo tiene que pasar para poderme inscribir de nuevo al monotributo porque afip me excluyó?,temporal
4,Si afip me dio de baja por exclusión ¿durante cuánto tiempo no me puedo volver a adherir?,temporal
5,Si me paso a Responsable Incripto ¿puedo volver al Monotributo en cualquier momento?,si_no
5,Si renuncio al Monotributo para optar por otro régimen ¿Puedo volver al monotributo?,si_no
5,Si era Monotributista y luego me pasé a Responsable Incripto ¿Cuándo puedo volver a ser Monotributista?,temporal
5,Si renuncié al monotributo y ahora soy responsable inscripto ¿cuánto tengo que esperar para ser monotributista de nuevo?,temporal
5,En caso de renunciar ¿puedo optar de nuevo por el monotributo?,si_no
5,En caso de renunciar ¿cuánto tengo que esperar para optar de nuevo por el monotributo?,temporal
5,¿Puedo volver a ser monotributista inmediatamente si renuncié para ser responsable inscripto?,si_no
5,Si cambié de regimen y dejé de ser monotributista ¿cuánto tiempo tiene que pasar para que pueda volver a serlo?,temporal
6,¿Desde cuándo tiene vigencia la baja del Monotributo?,temporal
6,Si me doy de baja del Monotributo ¿Desde cuándo comienza a correr?,temporal
6,Si me doy de baja del Monotributo ¿Hasta qué fecha sigo siendo Monotributista?,temporal
6,¿Cuándo se refleja en el sistema la baja del monotributo?,temporal
6,¿A partir de cuándo tiene efecto la cancelación del monotributo si renuncié?,temporal
6,¿Cuándo tendrá efecto la solicitud de baja por cese de actividad?,temporal
6,¿Desde qué momento se hace efectiva la baja del monotributo?,temporal
7,Si me dieron de baja por falta de pago ¿Cómo me doy de alta nuevamente?,procedimiento
7,¿Puedo volver a darme de alta en el Monotributo si me dieron la baja por falta de pago?,si_no
7,Si me dan de baja en el Monotributo ¿Puedo volver a darme de alta?,si_no
7,"Si me dieron de baja automáticamente, ¿me puedo dar de alta otra vez?",si_no
7,¿Me puedo adherir de nuevo al haberme dado de baja por falta de pago?,si_no
7,¿Es posible inscribirse al monotributo otra vez si me eliminaron por falta de pago?,si_no
7,¿Cuándo te dan de baja automáticamente del monotributo?,manera
8,¿Desde cuándo tiene vigencia la baja del Monotributo por exclusión?,temporal
8,Si me excluyen del Monotributo ¿Desde cuándo comienza a tener vigencia?,temporal
8,Si me excluyen del Monotributo ¿Hasta qué fecha sigo siendo Monotributista?,temporal
8,¿Cuándo se refleja en el sistema la baja del monotributo por exclusión?,temporal
8,¿A partir de cuándo tiene efecto la exclusión del monotributo?,temporal
8,"Si me dieron de baja por exclusión, ¿a partir de qué momento ya no soy monotributista?",temporal
8,¿Desde qué momento se hace efectiva la baja por exclusión?,temporal
9,Si paso de Monotributista a Responsable Inscripto ¿Puedo tomar el crédito fiscal?,si_no
9,¿Puedo computar el crédito fiscal siendo Monotributista y luego tomarlo si me paso a Responsable Inscripto?,si_no
9,Si ahora soy responsable inscripto ¿puedo tomar el crédito fiscal?,si_no
9,"Si ahora soy responsable inscripto habiendo sido monotributista, ¿es posible computar el crédito fiscal?",si_no
9,¿Es posible tomar crédito fiscal si paso de monotributista a responsable inscripto?,si_no
9,¿Se puede computar el crédito fiscal si ya no soy monotributista sino responsable inscripto?,si_no
9,¿Se computa el crédito fiscal al pasar de monotributista a responsable inscripto?,si_no
10,¿Cuánto tiempo hacia atrás puedo solicitar la baja del Monotributo?,temporal
10,¿Existe la posibilidad de darme de baja del Monotributo con fecha de varios meses atrás?,si_no
10,¿Hasta qué fecha anterior puedo darme de baja?,temporal
10,¿Puedo darme de baja con retroactividad?,si_no
10,¿Me puedo dar de baja con fecha anterior a la actual?,si_no
10,¿Es posible darme de baja con una fecha anterior?,si_no
10,¿Se puede tramitar una baja con una fecha anterior?,si_no
11,¿Cuánto tengo que pagar de Monotributo?,referencia
11,¿Se paga diferente importe de acuerdo a la categoría de Monotributo?,referencia
11,¿Cuál es el importe que debo pagar según mi categoría?,referencia
11,"De acuerdo a mi categoría, ¿cuánto pago?",referencia
11,¿Qué cantidad debo abonar por el monotributo?,referencia
11,¿Difiere el importe del monotributo de acuerdo a la categoría?,referencia
11,¿La cantidad a abonar es conforme a la categoría del monotributo?,referencia
12,¿Qué se paga en el Monotributo?,definicion
12,¿El Monotributo es un impuesto?,si_no
12,¿Qué significa pagar el Monotributo?,definicion
12,¿Qué items comprende el pago del Monotributo?,definicion
12,¿Qué estoy pagando cuando abono el monotributo?,definicion
12,¿Para qué se paga el monotributo?,definicion
12,¿Qué contempla el pago del monotributo?,definicion
13,¿Estoy obligado a pagar todos los conceptos del Monotributo?,si_no
13,"Soy profesional, ¿tengo que pagar la parte previsional del Monotributo?",si_no
13,¿Qué conceptos del Monotributo son obligatorios?,razon
13,¿Cuáles son los conceptos exceptuados de pagar en el Monotributo?,razon
13,¿En qué casos no debo pagar todos los conceptos del Monotributo?,razon
13,¿Cuáles son las excepciones para el pago de previsionales?,razon
13,¿Estoy exceptuado de pagar todos los conceptos del monotributo?,si_no
14,¿Qué categoría de Monotributo me corresponde al inscribirme?,manera
14,¿En qué categoría me debo inscribir cuando inicio una actividad?,manera
14,¿Cómo puedo saber qué categoría me corresponde cuando me inscribo en el Monotributo?,manera
14,¿A qué categoría debería inscribirme cuando me dé de alta al monotributo?,manera
14,¿Cómo sé a qué categoría de monotributo corresponde mi actividad?,manera
14,"Cuando me inscriba al monotributo, ¿en base a qué elijo la categoría?",manera
14,Al iniciar una actividad ¿qué tengo que tener en cuenta para determinar la categoría?,manera
15,¿qué significan Ingresos Brutos?,definicion
15,¿Cuáles son mis ingresos brutos?,definicion
15,¿Qué considera el monotributo como ingreso bruto?,definicion
15,¿Qué son los ingresos brutos?,definicion
15,¿Qué comprenden los ingresos brutos?,definicion
15,¿Qué son los ingresos brutos para los monotributistas?,definicion
15,¿Cómo me doy cuenta de cuáles son mis ingresos brutos?,manera
16,¿Qué ingresos tengo que tener en cuenta si realizo más de una actividad?,manera
